ID SUBGRUPO DE ITENS	ID ITEM	DESCRIÇÃO ITEM	UDM Preço	UDM estoque
arrozConcorrente	conc_181	ARROZ BRANCO MAXIMO T1 1KG	0	uni
feijaoConcorrente	conc_182	FEIJAO CARIOCA TIO JOTA T1 1KG	0	uni
feijaoConcorrente	conc_183	FEIJAO CARIOCA LOPES T1 1KG	0	uni
arrozConcorrente	conc_199	ARROZ INTEGRAL YOKI MAIS VITA T1 1KG	0	uni
3	CONC_198	ARROZ JAPONES SAKURA T1 1KG	0	uni
feijaoConcorrente	conc_200	FEIJAO FRADINHO POP T1 1KG	0	uni
	0223.1	MACARRÃO FANTASTICO PARAFUSO 500G	0	FD 20/0,5KG
	0224.1	MACARRÃO FANTASTICO PENE 500G	0	FD 20/0,5KG
	0225.1	MACARRÃO FANTASTICO ESPAGUETE 500G	0	FD 20/0,5KG
	conc_367	ARROZ BRANCO T1 SANTO GOURMET 5KG	0	UNI
arrozConcorrente	conc_94	ARROZ PARBOILIZADO SOLITO T1 5KG	0	uni
arrozConcorrente	conc_95	ARROZ BRANCO TIO URBANO T1 1KG	0	uni
arrozConcorrente	conc_96	ARROZ PARBOILIZADO SOLITO 1KG	0	uni
arrozConcorrente	conc_97	ARROZ PARBOILIZADO PRATO FINO T1 1KG	0	uni
feijaoConcorrente	conc_423	FEIJAO CARIOCA GRÃO CHIQUE 1KG	0	UNI
feijaoConcorrente	conc_424	FEIJAO CARIOCA VISOCO 1KG	0	UNI
feijaoConcorrente	conc_425	FEIJAO CARIOCA TARUMA 1KG	0	UNI
feijaoConcorrente	conc_426	FEIJAO CARIOCA CAMIL 1KG	0	UNI
	conc_427	FEIJAO PRETO COMBRASIL 1KG	0	UNI
	conc_428	FEIJAO PRETO TARUMA 1KG	0	UNI
	conc_429	FEIJAO PRETO CAMIL 1KG	0	UNI
1	conc_430	FEIJAO VERMELHO FANTASTICO 500G	0	UNI
	conc_431	FEIJAO BRANCO CAMIL 500G	0	UNI
1	conc_432	FEIJAO FRADINHO FANTASTICO 500G	0	UNI
arrozConcorrente	conc_433	ARROZ BRANCO OFICIAL 5KG	0	UNI
arrozConcorrente	conc_437	ARROZ BRANCO ARROZAL 5KG	0	UNI
arrozConcorrente	conc_434	ARROZ BRANCO BOM PRATO 5KG	0	UNI
arrozConcorrente	conc_435	ARROZ BRANCO D.BRANCA 5KG	0	UNI
arrozConcorrente	conc_436	ARROZ BRANCO S.LUCAS 5KG	0	UNI
arrozConcorrente	conc_438	ARROZ BRANCO SÃO PEDRO 5KG	0	UNI
arrozConcorrente	conc_439	ARROZ BRANCO RAROZ 1KG	0	UNI
arrozConcorrente	conc_440	ARROZ PARBOILIZADO RAROZ 1KG	0	UNI
3	conc_441	ARROZ JAPONES KANGAI 5KG	0	UNI
arrozConcorrente	conc_98	ARROZ INTEGRAL SOLITO T1 1KG	0	uni
arrozConcorrente	conc_99	ARROZ INTEGRAL TIO URBANO T1 1KG	0	uni
feijaoConcorrente	conc_100	FEIJAO CARIOCA MAXIMO T1 1KG	0	uni
feijaoConcorrente	conc_101	FEIJAO CARIOCA NAMORADO T1 1KG	0	uni
feijaoConcorrente	conc_102	FEIJAO CARIOCA SOLITO PREMIUM T1 1KG	0	uni
feijaoConcorrente	conc_103	FEIJAO CARIOCA DONA ROSA T1 1KG	0	uni
	conc_104	FEIJAO PRETO CALDO NOBRE T1 1KG	0	uni
	conc_105	FEIJAO PRETO MAXIMO T1 1KG	0	uni
	conc_106	FEIJAO PRETO NENE T1 1KG	0	uni
arrozConcorrente	conc_107	ARROZ BRANCO TIO URBANO T1 5KG	0	UNI
arrozConcorrente	conc_109	ARROZ PARBOILIZADO PRATO FINO T1 5KG	0	uni
arrozConcorrente	conc_471	ARROZ BRANCO PRINCESA 5KG	0	UNI
arrozConcorrente	conc_472	ARROZ BRANCO COMBRASIL 5KG	0	UNI
arrozConcorrente	conc_476	ARROZ PARBOILIZADO OURO BRANCO 5KG	0	UNI
arrozConcorrente	conc_473	ARROZ BRANCO OURO BRANCO 5KG	0	UNI
arrozConcorrente	conc_477	ARROZ PARBOILIZADO PRINCESA 5KG	0	UNI
arrozConcorrente	conc_474	ARROZ BRANCO PALMARES 5KG	0	UNI
arrozConcorrente	conc_475	ARROZ BRANCO SABOR CARIOCA 5KG	0	UNI
arrozConcorrente	conc_112	ARROZ BRANCO BLUE VILLE T1 1KG	0	uni
feijaoConcorrente	conc_113	FEIJAO PRETO TARUMA T1 1KG	0	uni
feijaoConcorrente	conc_114	FEIJAO FRADINHO CALDO NOBRE T1 1KG	0	uni
	conc_378	MACARRÃO ADRIA ESPAGUETE 500G	0	UNI
	conc_380	MACARRÃO DONA BENTA PARAFUSO 500G	0	UNI
	conc_383	MACARRÃO PETYBOM PARAFUSO 500G	0	UNI
	conc_384	MACARRÃO PETYBOM ESPAGUETE 500G	0	UNI
	conc_385	MACARRÃO RENATA PENE  500G	0	UNI
	conc_386	MACARRÃO RENATA PARAFUSO 500G	0	UNI
	conc_387	MACARRÃO RENATA ESPAGUETE 500G	0	UNI
	conc_454	ARROZ BRANCO TIO URBANO 5KG	0	UNI
arrozConcorrente	conc_453	ARROZ BRANCO SOLITO 5KG	0	UNI
arrozConcorrente	conc_455	ARROZ PARBOILIZADO CAMIL 5KG	0	UNI
feijaoConcorrente	conc_456	FEIJAO CARIOCA KICALDO 1KG	0	UNI
feijaoConcorrente	conc_457	FEIJAO CARIOCA CALDO NOBRE PREMIUM 1KG	0	UNI
feijaoConcorrente	conc_458	FEIJAO PRETO KICALDO 1KG	0	UNI
	conc_391	MACARRÃO TODESCHINI PENE 500G	0	UNI
	conc_392	MACARRÃO TODESCHINI PARAFUSO 500G	0	UNI
	conc_393	MACARRÃO TODESCHINI ESPAGUETE 500G	0	UNI
	conc_394	MACARRÃO SEMOLA GALLO PENE 500G	0	UNI
	conc_395	MACARRÃO SEMOLA  PARAFUSO GALLO 500G	0	UNI
	conc_396	MACARRÃO SEMOLA ESPAGUETE GALLO 500G	0	UNI
	conc_397	MACARRÃO VITARELLA PENE 500G	0	UNI
	conc_398	MACARRÃO VITARELLA PARAFUSO 500G	0	UNI
	con_399	MACARRÃO VITARELLA ESPAGUETE 500G	0	UNI
	conc_400	MACARRÃO FLOR DE LIS PENE 500G	0	UNI
	conc_401	MACARRÃO FLOR DE LIS PARAFUSO 500G	0	UNI
	conc_402	MACARRÃO FLOR DE LIS ESPAGUETE 500G	0	UNI
	conc_377	MACARRÃO ADRIA PARAFUSO 500G	0	UNI
	conc_376	MACARRÃO ADRIA PENE 500G	0	UNI
	conc_379	MACARRÃO DONA BENTA PENE 500G	0	UNI
	conc_381	MACARRÃO DONA BENTA ESPAGUETE 500G	0	UNI
	conc_382	MACARRÃO PETYBOM PENE  500G	0	UNI
arrozConcorrente	conc_480	ARROZ BRANCO PICO 5KG	0	UNI
arrozConcorrente	conc_481	ARROZ BRANCO TIO SÃO 5KG	0	UNI
arrozConcorrente	conc_482	ARROZ BRANCO BLUE PATINA 5KG	0	UNI
arrozConcorrente	conc_483	ARROZ BRANCO SABOR NACIONAL 5KG	0	UNI
	conc_484	FEIJAO PRETO CARIJO	0	UNI
2	conc_485	ARROZ INTEGRAL SABOROSO 1KG	0	UNI
	conc_221	FEIJAO PRETO CREMOSO  T1 1KG	0	uni
feijaoConcorrente	conc_219	FEIJAO CARIOCA CREMOSO T1 1KG	0	uni
feijaoConcorrente	conc_220	FEIJAO CARIOCA MANIA T1 1KG	0	uni
2	0002.	ARROZ BRANCO SABOROSO T1 (FD 15/2KG)	PACOTE 2 KG	FD 15/2 KG
2	conc_486	ARROZ PARBOILIZADO SABOROSO 1KG	0	UNI
arrozConcorrente	conc_487	ARROZ COPARROZ 5KG	0	UNI
arrozConcorrente	conc_490	ARROZ BRANCO PILLON 5KG	0	UNI
arrozConcorrente	conc_488	ARROZ BRANCO COPARROZ 1KG	0	UNI
arrozConcorrente	conc_489	ARROZ PARBOILIZADO COPARROZ 5KG	0	UNI
	conc_491	FEIJAO PRETO GIBI	0	UNI
	conc_492	FEIJAO PRETO DU RIO	0	UNI
feijaoConcorrente	conc_493	FEIJAO CARIOCA DU CAMPO	0	UNI
arrozConcorrente	conc_495	ARROZ BRANCO MAXIMO 1KG	0	UNI
feijaoConcorrente	conc_496	FAIJAO PRETO PARTIDO MARAVILHA	0	UNI
arrozConcorrente	conc_497	ARROZ BRANCO URBANO PREMIUN 1KG	0	UNI
arrozConcorrente	conc_499	ARROZ BRANCO GARFO LEGAL 5KG	0	UNI
